Table S1: Expert marker genes: pbmc3k,
Cell type,Marker genes
Naive CD4+ T,"IL7R, CCR7"
CD14+ Mono,"CD14, LYZ"
Memory CD4+,"IL7R, S100A4"
B,MS4A1
CD8+ T,CD8A
FCGR3A+ Mono,"FCGR3A, MS4A7"
NK,"GNLY, NKG7"
DC,"FCER1A, CST3"
Platelet,PPBP
Table S2: Expert marker genes: Lawlor,
Cell type,Marker gene
Beta,INS
Stellate,COL1A1
Ductal,KRT19
Alpha,GCG
Acinar,PRSS1
Gamma/PP,PPY
Delta,SST
Table S3: Expert marker genes: Zeisel,
Cell type,Marker gene
interneurons,PNOC
pyramidal SS,TBR1
pyramidal CA1,SPINK8
oligodendrocytes,HAPLN2
microglia,AIF1
endothelial-mural,ACTA2
astrocytes-ependymal,ALDOC
Table S4: Expert marker genes: Smart-seq3,
Cell type,Marker gene
NK cells,"NCAM1, KLRB1"
Naive/Memory CD8 T,PECAM1
Cytotoxic T,"GZMB, GZMA"
Naive B,"CD27, IGHM, IGHD, IL4R"
Dendritic cells,"KLF4, CD1C"
CD14 monocytes,CD14
plasmacytoid DC,"IL3RA, TLR7"
Plasma cells,"PRDM1, IRF4"
